phrase;command;cmd-arg
išvalyk asmeninius duomenis;cmd-browser-clear-data;
ieškok teksto;cmd-text-search;
patvirtinu;cmd-dlg-confirm;
sutinku;cmd-dlg-confirm;
horoskopai;cmd-custom-page-theme-n;14
padidink;cmd-zoom-in;
padidink mastelį;cmd-zoom-in;
padidink vaizdą;cmd-zoom-in;
eik kairėn;cmd-move-left-n;1
eik kairėn aštuonis kartus;cmd-move-left-n;8
eik kairėn devynis kartus;cmd-move-left-n;9
eik kairėn dešimt kartų;cmd-move-left-n;10
eik kairėn du kartus;cmd-move-left-n;2
eik kairėn keturis kartus;cmd-move-left-n;4
eik kairėn penkis kartus;cmd-move-left-n;5
eik kairėn septynis kartus;cmd-move-left-n;7
eik kairėn tris kartus;cmd-move-left-n;3
eik kairėn šešis kartus;cmd-move-left-n;6
eik į kairę;cmd-move-left-n;1
eik į kairę aštuonis kartus;cmd-move-left-n;8
eik į kairę devynis kartus;cmd-move-left-n;9
eik į kairę dešimt kartų;cmd-move-left-n;10
eik į kairę du kartus;cmd-move-left-n;2
eik į kairę keturis kartus;cmd-move-left-n;4
eik į kairę penkis kartus;cmd-move-left-n;5
eik į kairę septynis kartus;cmd-move-left-n;7
eik į kairę tris kartus;cmd-move-left-n;3
eik į kairę šešis kartus;cmd-move-left-n;6
kairėn;cmd-move-left-n;1
kairėn aštuonis kartus;cmd-move-left-n;8
kairėn devynis kartus;cmd-move-left-n;9
kairėn dešimt kartų;cmd-move-left-n;10
kairėn du kartus;cmd-move-left-n;2
kairėn keturis kartus;cmd-move-left-n;4
kairėn penkis kartus;cmd-move-left-n;5
kairėn septynis kartus;cmd-move-left-n;7
kairėn tris kartus;cmd-move-left-n;3
kairėn šešis kartus;cmd-move-left-n;6
slink kairėn;cmd-move-left-n;1
slink kairėn aštuonis kartus;cmd-move-left-n;8
slink kairėn devynis kartus;cmd-move-left-n;9
slink kairėn dešimt kartų;cmd-move-left-n;10
slink kairėn du kartus;cmd-move-left-n;2
slink kairėn keturis kartus;cmd-move-left-n;4
slink kairėn penkis kartus;cmd-move-left-n;5
slink kairėn septynis kartus;cmd-move-left-n;7
slink kairėn tris kartus;cmd-move-left-n;3
slink kairėn šešis kartus;cmd-move-left-n;6
slink į kairę;cmd-move-left-n;1
slink į kairę aštuonis kartus;cmd-move-left-n;8
slink į kairę devynis kartus;cmd-move-left-n;9
slink į kairę dešimt kartų;cmd-move-left-n;10
slink į kairę du kartus;cmd-move-left-n;2
slink į kairę keturis kartus;cmd-move-left-n;4
slink į kairę penkis kartus;cmd-move-left-n;5
slink į kairę septynis kartus;cmd-move-left-n;7
slink į kairę tris kartus;cmd-move-left-n;3
slink į kairę šešis kartus;cmd-move-left-n;6
į kairę;cmd-move-left-n;1
į kairę aštuonis kartus;cmd-move-left-n;8
į kairę devynis kartus;cmd-move-left-n;9
į kairę dešimt kartų;cmd-move-left-n;10
į kairę du kartus;cmd-move-left-n;2
į kairę keturis kartus;cmd-move-left-n;4
į kairę penkis kartus;cmd-move-left-n;5
į kairę septynis kartus;cmd-move-left-n;7
į kairę tris kartus;cmd-move-left-n;3
į kairę šešis kartus;cmd-move-left-n;6
teatras;cmd-custom-page-theme-n;12
atsiuntimų žurnalas;cmd-down-manager;
atverk atsiuntimų žurnalą;cmd-down-manager;
pereik į pabaigą;cmd-move-end;
į pabaigą;cmd-move-end;
eik žemyn;cmd-move-down-n;1
eik žemyn aštuonis kartus;cmd-move-down-n;8
eik žemyn devynis kartus;cmd-move-down-n;9
eik žemyn dešimt kartų;cmd-move-down-n;10
eik žemyn du kartus;cmd-move-down-n;2
eik žemyn keturis kartus;cmd-move-down-n;4
eik žemyn penkis kartus;cmd-move-down-n;5
eik žemyn septynis kartus;cmd-move-down-n;7
eik žemyn tris kartus;cmd-move-down-n;3
eik žemyn šešis kartus;cmd-move-down-n;6
slink žemyn;cmd-move-down-n;1
slink žemyn aštuonis kartus;cmd-move-down-n;8
slink žemyn devynis kartus;cmd-move-down-n;9
slink žemyn dešimt kartų;cmd-move-down-n;10
slink žemyn du kartus;cmd-move-down-n;2
slink žemyn keturis kartus;cmd-move-down-n;4
slink žemyn penkis kartus;cmd-move-down-n;5
slink žemyn septynis kartus;cmd-move-down-n;7
slink žemyn tris kartus;cmd-move-down-n;3
slink žemyn šešis kartus;cmd-move-down-n;6
žemyn;cmd-move-down-n;1
žemyn aštuonis kartus;cmd-move-down-n;8
žemyn devynis kartus;cmd-move-down-n;9
žemyn dešimt kartų;cmd-move-down-n;10
žemyn du kartus;cmd-move-down-n;2
žemyn keturis kartus;cmd-move-down-n;4
žemyn penkis kartus;cmd-move-down-n;5
žemyn septynis kartus;cmd-move-down-n;7
žemyn tris kartus;cmd-move-down-n;3
žemyn šešis kartus;cmd-move-down-n;6
pažymėk viską;cmd-select-all;
pašalink;cmd-delete;
atstatyk;cmd-redo;
atstatyk veiksmą;cmd-redo;
grąžink;cmd-redo;
grąžink veiksmą;cmd-redo;
televizija;cmd-custom-page-theme-n;8
ankstesnis fragmentas;cmd-text-search-prev;
ankstesnis teksto fragmentas;cmd-text-search-prev;
ieškok ankstesnio;cmd-text-search-prev;
adresas;cmd-location-bar;
adreso juosta;cmd-location-bar;
pereik į adreso juostą;cmd-location-bar;
